model,question_id,dataset,n_items,len_random,len_hardest_full,len_hardest_loo,len_confidence,saving_full_pct,saving_loo_pct,saving_conf_pct
Qwen/Qwen2.5-14B-Instruct,essay_set_1,asap_sas,1176,37.345,4,4,80,89.28906145400991,89.28906145400991,-114.21877091980186
Qwen/Qwen2.5-14B-Instruct,essay_set_10,asap_sas,1163,37.71,20,32,73,46.96367011402811,15.141872182444976,-93.58260408379739
Qwen/Qwen2.5-14B-Instruct,essay_set_2,asap_sas,890,40.62,4,4,25,90.15263417035942,90.15263417035942,38.453963564746424
Qwen/Qwen2.5-14B-Instruct,essay_set_3,asap_sas,1151,51.865,4,4,87,92.28766991227224,92.28766991227224,-67.74317940807866
Qwen/Qwen2.5-14B-Instruct,essay_set_4,asap_sas,1079,26.12,59,46,25,-125.88055130168452,-76.11026033690658,4.287901990811642
Qwen/Qwen2.5-14B-Instruct,essay_set_5,asap_sas,1389,25.35,39,39,25,-53.84615384615383,-53.84615384615383,1.3806706114398477
Qwen/Qwen2.5-14B-Instruct,essay_set_6,asap_sas,1383,32.225,4,4,66,87.58727695888285,87.58727695888285,-104.80993017843288
Qwen/Qwen2.5-14B-Instruct,essay_set_8,asap_sas,1236,45.44,4,4,73,91.19718309859155,91.19718309859155,-60.65140845070424
Qwen/Qwen2.5-14B-Instruct,essay_set_9,asap_sas,1159,28.915,5,5,39,82.70793705689088,82.70793705689088,-34.878090956251086
Qwen/Qwen2.5-32B-Instruct,essay_set_1,asap_sas,1176,37.335,4,4,25,89.28619258068836,89.28619258068836,33.03870362930226
Qwen/Qwen2.5-32B-Instruct,essay_set_10,asap_sas,1163,26.785,6,7,25,77.59940265073735,73.86596975919359,6.664177711405637
Qwen/Qwen2.5-32B-Instruct,essay_set_2,asap_sas,890,38.635,4,4,66,89.64669341270867,89.64669341270867,-70.82955869030673
Qwen/Qwen2.5-32B-Instruct,essay_set_3,asap_sas,1151,37.585,4,4,25,89.35745643208726,89.35745643208726,33.484102700545435
Qwen/Qwen2.5-32B-Instruct,essay_set_4,asap_sas,1079,25.21,39,39,25,-54.70051566838555,-54.70051566838555,0.8330027766759255
Qwen/Qwen2.5-32B-Instruct,essay_set_5,asap_sas,1389,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,essay_set_6,asap_sas,1383,34.655,4,4,66,88.4576540181792,88.4576540181792,-90.44870870004328
Qwen/Qwen2.5-32B-Instruct,essay_set_7,asap_sas,1383,75.8,4,4,25,94.72295514511873,94.72295514511873,67.01846965699208
Qwen/Qwen2.5-32B-Instruct,essay_set_8,asap_sas,1236,33.17,5,5,39,84.92613807657521,84.92613807657521,-17.576123002713288
Qwen/Qwen2.5-32B-Instruct,essay_set_9,asap_sas,1159,25.7,6,59,25,76.65369649805447,-129.57198443579765,2.7237354085603087
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_1,asap_sas,1176,60.975,4,4,22,93.439934399344,93.439934399344,63.91963919639196
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_10,asap_sas,1163,30.525,4,4,39,86.8959868959869,86.8959868959869,-27.76412776412777
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_2,asap_sas,890,45.895,4,4,32,91.28445364418782,91.28445364418782,30.275629153502564
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_3,asap_sas,1151,27.94,4,6,25,85.68360773085183,78.52541159627773,10.522548317823913
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_4,asap_sas,1079,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_5,asap_sas,1389,25.315,46,46,25,-81.71044835078017,-81.71044835078017,1.244321548489043
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_6,asap_sas,1383,29.2,4,4,101,86.3013698630137,86.3013698630137,-245.89041095890408
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_8,asap_sas,1236,35.645,4,4,73,88.77822976574554,88.77822976574554,-104.79730677514377
Qwen/Qwen2.5-72B-Instruct-AWQ,essay_set_9,asap_sas,1159,26.295,5,7,25,80.98497813272485,73.3789693858148,4.924890663624269
Qwen/Qwen2.5-7B-Instruct,essay_set_1,asap_sas,1176,65.24,4,4,26,93.86879215205396,93.86879215205396,60.14714898835071
Qwen/Qwen2.5-7B-Instruct,essay_set_10,asap_sas,1163,29.09,12,13,25,58.74871089721554,55.3111034719835,14.059814369199037
Qwen/Qwen2.5-7B-Instruct,essay_set_2,asap_sas,890,84.605,4,5,130,95.27214703622717,94.09018379528396,-53.65522132261687
Qwen/Qwen2.5-7B-Instruct,essay_set_3,asap_sas,1151,26.12,32,32,25,-22.5114854517611,-22.5114854517611,4.287901990811642
Qwen/Qwen2.5-7B-Instruct,essay_set_4,asap_sas,1079,25.56,8,53,25,68.70109546165885,-107.35524256651019,2.1909233176838763
Qwen/Qwen2.5-7B-Instruct,essay_set_5,asap_sas,1389,25.49,59,46,32,-131.4633189486073,-80.46292663789723,-25.539427226363287
Qwen/Qwen2.5-7B-Instruct,essay_set_6,asap_sas,1383,30.38,4,5,60,86.83344305464121,83.54180381830152,-97.49835418038184
Qwen/Qwen2.5-7B-Instruct,essay_set_7,asap_sas,1383,65.435,4,6,32,93.88706349812792,90.83059524719187,51.09650798502331
Qwen/Qwen2.5-7B-Instruct,essay_set_8,asap_sas,1236,40.43,5,5,25,87.63294583230274,87.63294583230274,38.164729161513726
Qwen/Qwen2.5-7B-Instruct,essay_set_9,asap_sas,1159,29.445,66,53,39,-124.14671421293937,-79.99660383766344,-32.450331125827816
Qwen/Qwen3-14B,essay_set_1,asap_sas,1176,38.07,4,4,39,89.49303913842921,89.49303913842921,-2.4428684003152084
Qwen/Qwen3-14B,essay_set_10,asap_sas,1163,34.34,4,4,25,88.35177635410601,88.35177635410601,27.1986022131625
Qwen/Qwen3-14B,essay_set_2,asap_sas,890,39.875,4,4,59,89.96865203761756,89.96865203761756,-47.96238244514107
Qwen/Qwen3-14B,essay_set_3,asap_sas,1151,42.46,4,4,121,90.57936881771079,90.57936881771079,-184.97409326424867
Qwen/Qwen3-14B,essay_set_4,asap_sas,1079,29.265,10,22,25,65.82948915086281,24.824876131898176,14.573722877157017
Qwen/Qwen3-14B,essay_set_5,asap_sas,1389,47.03,11,14,25,76.61067403784818,70.23176695726133,46.842440995109506
Qwen/Qwen3-14B,essay_set_6,asap_sas,1383,52.15,4,4,46,92.32981783317354,92.32981783317354,11.792905081495682
Qwen/Qwen3-14B,essay_set_9,asap_sas,1159,31.225,5,5,25,83.98718975180144,83.98718975180144,19.93594875900721
Qwen/Qwen3-32B,essay_set_1,asap_sas,1176,39.39,4,4,32,89.84513835998985,89.84513835998985,18.761106879918763
Qwen/Qwen3-32B,essay_set_10,asap_sas,1163,42.375,4,4,46,90.56047197640117,90.56047197640117,-8.55457227138643
Qwen/Qwen3-32B,essay_set_2,asap_sas,890,40.295,4,4,39,90.07321007569178,90.07321007569178,3.2137982379947925
Qwen/Qwen3-32B,essay_set_3,asap_sas,1151,27.52,4,6,25,85.46511627906976,78.19767441860465,9.156976744186045
Qwen/Qwen3-32B,essay_set_4,asap_sas,1079,25.175,32,32,25,-27.110228401191655,-27.110228401191655,0.6951340615690197
Qwen/Qwen3-32B,essay_set_5,asap_sas,1389,33.17,7,13,25,78.89659330720531,60.80795899909557,24.630690382876097
Qwen/Qwen3-32B,essay_set_6,asap_sas,1383,48.11,4,4,54,91.68572022448555,91.68572022448555,-12.242776969445023
Qwen/Qwen3-32B,essay_set_8,asap_sas,1236,32.815,4,4,25,87.81045253694957,87.81045253694957,23.81532835593478
Qwen/Qwen3-32B,essay_set_9,asap_sas,1159,25.595,39,39,25,-52.37351045126002,-52.37351045126002,2.3246727876538342
Qwen/Qwen3-8B,essay_set_10,asap_sas,1163,52.1,5,6,142,90.40307101727447,88.48368522072937,-172.552783109405
Qwen/Qwen3-8B,essay_set_4,asap_sas,1079,30.8,4,4,25,87.01298701298701,87.01298701298701,18.83116883116883
Qwen/Qwen3-8B,essay_set_5,asap_sas,1389,26.12,5,6,53,80.85758039816233,77.0290964777948,-102.90964777947931
Qwen/Qwen3-8B,essay_set_6,asap_sas,1383,35.41,4,4,45,88.70375600112962,88.70375600112962,-27.08274498729174
Qwen/Qwen3-8B,essay_set_7,asap_sas,1383,87.585,4,5,25,95.43300793514872,94.29125991893589,71.45629959467945
Qwen/Qwen3-8B,essay_set_8,asap_sas,1236,84.705,4,4,32,95.27772858745055,95.27772858745055,62.22182869960451
Qwen/Qwen3-8B,essay_set_9,asap_sas,1159,28.25,4,4,32,85.84070796460178,85.84070796460178,-13.274336283185843
Qwen/Qwen3.5-27B,essay_set_1,asap_sas,1176,60.67,4,4,53,93.40695566177682,93.40695566177682,12.642162518542941
Qwen/Qwen3.5-27B,essay_set_10,asap_sas,1163,29.74,4,4,25,86.55010087424344,86.55010087424344,15.938130464021516
Qwen/Qwen3.5-27B,essay_set_2,asap_sas,890,29.265,4,4,25,86.33179566034512,86.33179566034512,14.573722877157017
Qwen/Qwen3.5-27B,essay_set_3,asap_sas,1151,30.695,4,4,32,86.96856165499267,86.96856165499267,-4.25150676005864
Qwen/Qwen3.5-27B,essay_set_4,asap_sas,1079,25.665,6,8,25,76.6218585622443,68.82914474965906,2.591077342684587
Qwen/Qwen3.5-27B,essay_set_5,asap_sas,1389,25.315,39,39,32,-54.05885838435709,-54.05885838435709,-26.407268417934027
Qwen/Qwen3.5-27B,essay_set_6,asap_sas,1383,28.71,4,4,39,86.06757227446883,86.06757227446883,-35.84117032392894
Qwen/Qwen3.5-27B,essay_set_7,asap_sas,1383,45.165,4,4,25,91.14358463411934,91.14358463411934,44.64740396324587
Qwen/Qwen3.5-27B,essay_set_8,asap_sas,1236,28.64,4,4,25,86.03351955307262,86.03351955307262,12.709497206703912
Qwen/Qwen3.5-27B,essay_set_9,asap_sas,1159,25.245,46,46,25,-82.21429986135867,-82.21429986135867,0.9704892057833272
Qwen/Qwen3.5-35B-A3B,essay_set_1,asap_sas,1176,33.71,4,4,59,88.13408484129339,88.13408484129339,-75.02224859092257
Qwen/Qwen3.5-35B-A3B,essay_set_10,asap_sas,1163,32.275,7,7,13,78.3113865220759,78.3113865220759,59.72114639814098
Qwen/Qwen3.5-35B-A3B,essay_set_2,asap_sas,890,42.185,4,4,32,90.51795661965154,90.51795661965154,24.143652957212282
Qwen/Qwen3.5-35B-A3B,essay_set_3,asap_sas,1151,29.305,4,4,25,86.35045214127281,86.35045214127281,14.690325882955127
Qwen/Qwen3.5-35B-A3B,essay_set_4,asap_sas,1079,25.735,8,53,25,68.91393044491937,-105.94521080240918,2.8560326403730305
Qwen/Qwen3.5-35B-A3B,essay_set_5,asap_sas,1389,25.665,53,53,25,-106.50691603350867,-106.50691603350867,2.591077342684587
Qwen/Qwen3.5-35B-A3B,essay_set_6,asap_sas,1383,35.89,4,4,6,88.85483421565897,88.85483421565897,83.28225132348844
Qwen/Qwen3.5-35B-A3B,essay_set_7,asap_sas,1383,44.02,4,4,25,90.91322126306225,90.91322126306225,43.20763289413903
Qwen/Qwen3.5-35B-A3B,essay_set_8,asap_sas,1236,29.155,4,4,25,86.28022637626479,86.28022637626479,14.25141485165495
Qwen/Qwen3.5-35B-A3B,essay_set_9,asap_sas,1159,26.225,59,59,32,-124.97616777883698,-124.97616777883698,-22.020972354623446
Qwen/Qwen3.5-4B,essay_set_1,asap_sas,1176,69.89,5,5,56,92.84590070110174,92.84590070110174,19.874087852339393
Qwen/Qwen3.5-4B,essay_set_10,asap_sas,1163,29.615,5,5,59,83.11666385277731,83.11666385277731,-99.22336653722776
Qwen/Qwen3.5-4B,essay_set_2,asap_sas,890,103.66,4,4,101,96.1412309473278,96.1412309473278,2.5660814200270083
Qwen/Qwen3.5-4B,essay_set_3,asap_sas,1151,38.285,4,4,39,89.5520438814157,89.5520438814157,-1.867572156196953
Qwen/Qwen3.5-4B,essay_set_4,asap_sas,1079,40.56,6,7,15,85.20710059171599,82.74161735700197,63.01775147928994
Qwen/Qwen3.5-4B,essay_set_5,asap_sas,1389,25.35,53,53,46,-109.07297830374752,-109.07297830374752,-81.45956607495069
Qwen/Qwen3.5-4B,essay_set_6,asap_sas,1383,32.295,4,4,29,87.61418176188265,87.61418176188265,10.202817773649176
Qwen/Qwen3.5-4B,essay_set_7,asap_sas,1383,36.555,4,4,32,89.05758446176993,89.05758446176993,12.460675694159486
Qwen/Qwen3.5-4B,essay_set_8,asap_sas,1236,30.49,4,5,25,86.88094457199081,83.60118071498852,18.0059035749426
Qwen/Qwen3.5-4B,essay_set_9,asap_sas,1159,27.24,66,59,32,-142.29074889867843,-116.59324522760647,-17.474302496328935
Qwen/Qwen3.5-9B,essay_set_1,asap_sas,1176,48.32,4,4,66,91.72185430463577,91.72185430463577,-36.58940397350993
Qwen/Qwen3.5-9B,essay_set_10,asap_sas,1163,38.595,4,4,32,89.63596320766939,89.63596320766939,17.087705661355095
Qwen/Qwen3.5-9B,essay_set_2,asap_sas,890,36.66,4,4,39,89.08892525913802,89.08892525913802,-6.382978723404264
Qwen/Qwen3.5-9B,essay_set_3,asap_sas,1151,90.47,4,4,32,95.57864485464795,95.57864485464795,64.6291588371836
Qwen/Qwen3.5-9B,essay_set_4,asap_sas,1079,33.74,6,7,73,82.21695317131001,79.25311203319502,-116.36040308239477
Qwen/Qwen3.5-9B,essay_set_5,asap_sas,1389,26.155,4,4,46,84.70655706365896,84.70655706365896,-75.874593767922
Qwen/Qwen3.5-9B,essay_set_6,asap_sas,1383,31.01,4,4,122,87.1009351821993,87.1009351821993,-293.42147694292163
Qwen/Qwen3.5-9B,essay_set_8,asap_sas,1236,41.63,4,4,25,90.39154455921211,90.39154455921211,39.94715349507567
Qwen/Qwen3.5-9B,essay_set_9,asap_sas,1159,28.95,8,14,32,72.36614853195164,51.64075993091537,-10.53540587219344
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_1,asap_sas,1176,81.085,12,13,39,85.20071529876056,83.96744157365728,51.90232472097181
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_10,asap_sas,1163,46.055,4,4,25,91.31473238519162,91.31473238519162,45.71707740744762
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_2,asap_sas,890,92.73,4,4,15,95.68640138035155,95.68640138035155,83.82400517631834
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_3,asap_sas,1151,93.675,4,4,59,95.72991726714704,95.72991726714704,37.016279690419005
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_4,asap_sas,1079,27.205,10,28,25,63.24205109354898,-2.9222569380628625,8.105127733872445
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_5,asap_sas,1389,25.56,7,14,32,72.61345852895148,45.22691705790297,-25.19561815336464
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_6,asap_sas,1383,37.195,4,4,25,89.24586637988978,89.24586637988978,32.786664874311064
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,essay_set_9,asap_sas,1159,47.13,5,5,25,89.39104604286018,89.39104604286018,46.955230214300876
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_10,asap_sas,1163,53.66,25,25,21,53.41036153559449,53.41036153559449,60.86470368989937
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_3,asap_sas,1151,28.605,25,25,39,12.602691837091417,12.602691837091417,-36.339800734137384
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_4,asap_sas,1079,26.4,27,46,39,-2.2727272727272783,-74.24242424242425,-47.727272727272734
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_5,asap_sas,1389,32.055,8,8,8,75.0428950241772,75.0428950241772,75.0428950241772
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_6,asap_sas,1383,40.37,39,39,12,3.393609115679954,3.393609115679954,70.27495665097845
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_7,asap_sas,1383,36.235,25,25,110,31.005933489719883,31.005933489719883,-203.57389264523255
deepseek-ai/DeepSeek-V2-Lite-Chat,essay_set_9,asap_sas,1159,26.505,25,25,87,5.67817392944727,5.67817392944727,-228.23995472552352
google/gemma-3-27b-it,essay_set_1,asap_sas,1176,40.13,5,5,39,87.5404933964615,87.5404933964615,2.815848492399707
google/gemma-3-27b-it,essay_set_10,asap_sas,1163,25.315,39,39,25,-54.05885838435709,-54.05885838435709,1.244321548489043
google/gemma-3-27b-it,essay_set_2,asap_sas,890,37.74,4,4,63,89.4011658717541,89.4011658717541,-66.9316375198728
google/gemma-3-27b-it,essay_set_3,asap_sas,1151,30.075,4,4,32,86.69991687448046,86.69991687448046,-6.400665004156278
google/gemma-3-27b-it,essay_set_4,asap_sas,1079,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,essay_set_5,asap_sas,1389,26.96,7,13,32,74.03560830860533,51.78041543026707,-18.69436201780415
google/gemma-3-27b-it,essay_set_6,asap_sas,1383,38.81,4,4,90,89.69337799536203,89.69337799536203,-131.89899510435455
google/gemma-3-27b-it,essay_set_8,asap_sas,1236,27.485,5,5,32,81.80825905039111,81.80825905039111,-16.42714207749682
google/gemma-3-27b-it,essay_set_9,asap_sas,1159,25.175,32,32,25,-27.110228401191655,-27.110228401191655,0.6951340615690197
google/gemma-4-26B-A4B-it,essay_set_1,asap_sas,1176,48.885,4,4,53,91.81753093996113,91.81753093996113,-8.417715045514989
google/gemma-4-26B-A4B-it,essay_set_10,asap_sas,1163,27.205,4,4,32,85.2968204374196,85.2968204374196,-17.62543650064327
google/gemma-4-26B-A4B-it,essay_set_2,asap_sas,890,39.155,4,4,25,89.78419103562764,89.78419103562764,36.151193972672715
google/gemma-4-26B-A4B-it,essay_set_3,asap_sas,1151,30.275,4,4,39,86.78777869529316,86.78777869529316,-28.81915772089183
google/gemma-4-26B-A4B-it,essay_set_4,asap_sas,1079,25.665,6,8,25,76.6218585622443,68.82914474965906,2.591077342684587
google/gemma-4-26B-A4B-it,essay_set_5,asap_sas,1389,25.56,8,8,25,68.70109546165885,68.70109546165885,2.1909233176838763
google/gemma-4-26B-A4B-it,essay_set_6,asap_sas,1383,31.745,4,4,149,87.39959048669081,87.39959048669081,-369.365254370767
google/gemma-4-26B-A4B-it,essay_set_7,asap_sas,1383,61.4,4,4,39,93.48534201954396,93.48534201954396,36.48208469055375
google/gemma-4-26B-A4B-it,essay_set_8,asap_sas,1236,26.61,4,4,53,84.96805712138294,84.96805712138294,-99.17324314167607
google/gemma-4-26B-A4B-it,essay_set_9,asap_sas,1159,25.42,39,39,32,-53.42250196695514,-53.42250196695514,-25.885129819040113
google/gemma-4-31B-it,essay_set_1,asap_sas,1176,38.295,4,4,39,89.55477216346782,89.55477216346782,-1.840971406188793
google/gemma-4-31B-it,essay_set_10,asap_sas,1163,27.03,6,10,25,77.80244173140954,63.00406955234924,7.510173880873109
google/gemma-4-31B-it,essay_set_2,asap_sas,890,32.735,4,4,32,87.78066289903774,87.78066289903774,2.245303192301816
google/gemma-4-31B-it,essay_set_3,asap_sas,1151,30.34,4,4,39,86.81608437706,86.81608437706,-28.54317732366513
google/gemma-4-31B-it,essay_set_4,asap_sas,1079,26.33,6,7,25,77.21230535510824,73.41435624762627,5.051272312951
google/gemma-4-31B-it,essay_set_5,asap_sas,1389,26.26,4,4,39,84.76770753998477,84.76770753998477,-48.514851485148505
google/gemma-4-31B-it,essay_set_6,asap_sas,1383,28.29,4,4,66,85.86072817249911,85.86072817249911,-133.29798515376459
google/gemma-4-31B-it,essay_set_7,asap_sas,1383,65.28,4,4,59,93.87254901960785,93.87254901960785,9.620098039215689
google/gemma-4-31B-it,essay_set_8,asap_sas,1236,26.645,5,6,32,81.23475323700507,77.48170388440609,-20.097579283167573
google/gemma-4-31B-it,essay_set_9,asap_sas,1159,25.875,46,46,39,-77.77777777777779,-77.77777777777779,-50.72463768115942
google/gemma-4-E2B-it,essay_set_1,asap_sas,1176,38.85,4,4,12,89.7039897039897,89.7039897039897,69.11196911196912
google/gemma-4-E2B-it,essay_set_10,asap_sas,1163,26.225,46,46,32,-75.4051477597712,-75.4051477597712,-22.020972354623446
google/gemma-4-E2B-it,essay_set_2,asap_sas,890,83.18,4,4,141,95.19115171916326,95.19115171916326,-69.51190189949506
google/gemma-4-E2B-it,essay_set_3,asap_sas,1151,25.595,46,46,25,-79.72260207071695,-79.72260207071695,2.3246727876538342
google/gemma-4-E2B-it,essay_set_4,asap_sas,1079,25.385,46,39,25,-81.20937561552097,-53.63403584794169,1.5166436872168665
google/gemma-4-E2B-it,essay_set_5,asap_sas,1389,26.33,12,14,32,54.424610710216484,46.82871249525256,-21.53437143942272
google/gemma-4-E2B-it,essay_set_6,asap_sas,1383,32.6,4,4,59,87.73006134969326,87.73006134969326,-80.98159509202453
google/gemma-4-E2B-it,essay_set_7,asap_sas,1383,62.965,4,8,25,93.6472643532121,87.2945287064242,60.29540220757564
google/gemma-4-E2B-it,essay_set_8,asap_sas,1236,27.24,4,5,25,85.31571218795888,81.64464023494861,8.22320117474302
google/gemma-4-E2B-it,essay_set_9,asap_sas,1159,25.28,39,39,25,-54.272151898734165,-54.272151898734165,1.1075949367088653
google/gemma-4-E4B-it,essay_set_1,asap_sas,1176,76.745,4,4,25,94.78793406736595,94.78793406736595,67.4245879210372
google/gemma-4-E4B-it,essay_set_10,asap_sas,1163,27.835,4,4,25,85.62960301778337,85.62960301778337,10.185018861146041
google/gemma-4-E4B-it,essay_set_2,asap_sas,890,40.405,4,4,32,90.10023511941591,90.10023511941591,20.801880955327313
google/gemma-4-E4B-it,essay_set_3,asap_sas,1151,38.99,4,4,94,89.7409592203129,89.7409592203129,-141.08745832264682
google/gemma-4-E4B-it,essay_set_4,asap_sas,1079,27.305,7,7,46,74.36366965757188,74.36366965757188,-68.4673136788134
google/gemma-4-E4B-it,essay_set_5,asap_sas,1389,25.91,7,7,25,72.98340409108452,72.98340409108452,3.5121574681590126
google/gemma-4-E4B-it,essay_set_6,asap_sas,1383,41.28,4,4,42,90.31007751937985,90.31007751937985,-1.744186046511625
google/gemma-4-E4B-it,essay_set_8,asap_sas,1236,51.145,4,4,39,92.17909864111839,92.17909864111839,23.746211750904298
google/gemma-4-E4B-it,essay_set_9,asap_sas,1159,27.8,5,6,46,82.01438848920863,78.41726618705036,-65.46762589928056
