model,question_id,dataset,n_items,len_random,len_hardest_full,len_hardest_loo,len_confidence,saving_full_pct,saving_loo_pct,saving_conf_pct
internlm/internlm2_5-20b-chat,essay_set_10,asap_sas,1163,59.27,4,4,25,93.25122321579214,93.25122321579214,57.82014509870086
internlm/internlm2_5-20b-chat,essay_set_2,asap_sas,890,61.28,4,4,81,93.47258485639686,93.47258485639686,-32.180156657963444
internlm/internlm2_5-20b-chat,essay_set_3,asap_sas,1151,78.305,4,4,25,94.89176936338676,94.89176936338676,68.07355852116723
internlm/internlm2_5-20b-chat,essay_set_4,asap_sas,1079,27.45,7,8,25,74.4990892531876,70.85610200364299,8.925318761384332
internlm/internlm2_5-20b-chat,essay_set_5,asap_sas,1389,43.75,7,8,59,84.0,81.71428571428572,-34.85714285714286
internlm/internlm2_5-20b-chat,essay_set_6,asap_sas,1383,82.215,4,4,32,95.13470777838594,95.13470777838594,61.077662227087515
internlm/internlm2_5-20b-chat,essay_set_8,asap_sas,1236,92.885,4,4,39,95.69359961242397,95.69359961242397,58.01259622113366
internlm/internlm2_5-20b-chat,essay_set_9,asap_sas,1159,33.53,4,4,39,88.07038473009246,88.07038473009246,-16.313748881598563
microsoft/phi-4,essay_set_1,asap_sas,1176,66.44,4,6,25,93.97953040337146,90.9692956050572,62.37206502107164
microsoft/phi-4,essay_set_10,asap_sas,1163,41.53,4,4,32,90.3684083794847,90.3684083794847,22.94726703587768
microsoft/phi-4,essay_set_2,asap_sas,890,58.12,4,4,39,93.11768754301445,93.11768754301445,32.89745354439091
microsoft/phi-4,essay_set_5,asap_sas,1389,25.91,4,4,32,84.56194519490545,84.56194519490545,-23.504438440756463
microsoft/phi-4,essay_set_6,asap_sas,1383,36.58,4,4,273,89.06506287588847,89.06506287588847,-646.3094587206125
microsoft/phi-4,essay_set_9,asap_sas,1159,96.025,5,5,89,94.79302265035146,94.79302265035146,7.315803176256189
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_1,asap_sas,1176,32.335,4,4,14,87.62950363383331,87.62950363383331,56.70326271841658
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_10,asap_sas,1163,25.21,25,25,25,0.8330027766759255,0.8330027766759255,0.8330027766759255
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_2,asap_sas,890,35.13,4,4,53,88.61372046683746,88.61372046683746,-50.868203814403635
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_3,asap_sas,1151,26.96,4,4,25,85.16320474777447,85.16320474777447,7.270029673590507
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_4,asap_sas,1079,25.245,39,39,32,-54.486036838978016,-54.486036838978016,-26.757773816597343
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_5,asap_sas,1389,26.505,12,14,87,54.72552348613468,47.17977740049047,-228.23995472552352
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_6,asap_sas,1383,26.89,39,39,53,-45.03532911863146,-45.03532911863146,-97.09929341762736
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_7,asap_sas,1383,38.99,4,5,25,89.7409592203129,87.17619902539113,35.88099512695563
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_8,asap_sas,1236,26.12,53,53,25,-102.90964777947931,-102.90964777947931,4.287901990811642
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_9,asap_sas,1159,25.35,32,32,32,-26.232741617356996,-26.232741617356996,-26.232741617356996
Qwen/Qwen2.5-14B-Instruct,4d3fef6bfa66400d,mohler,30,29.3,30,30,30,-2.3890784982935127,-2.3890784982935127,-2.3890784982935127
Qwen/Qwen2.5-14B-Instruct,70ec4054bb7d1122,mohler,27,26.81,27,27,27,-0.7086907870197736,-0.7086907870197736,-0.7086907870197736
Qwen/Qwen2.5-32B-Instruct,12a8db106cac744f,mohler,26,25.965,26,26,26,-0.1347968419025617,-0.1347968419025617,-0.1347968419025617
Qwen/Qwen2.5-32B-Instruct,1c3a12552fbf25bd,mohler,29,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1ed353a72ef2a4f8,mohler,29,29.0,29,29,29,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1f2dcc9aa70c85d0,mohler,27,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1fcd40f40472d1fe,mohler,30,29.0,30,30,25,-3.4482758620689653,-3.4482758620689653,13.793103448275861
Qwen/Qwen2.5-32B-Instruct,330c9e050d1cf143,mohler,26,25.985,26,26,26,-0.05772561092938453,-0.05772561092938453,-0.05772561092938453
Qwen/Qwen2.5-32B-Instruct,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,3bb8265858f79804,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4a88ef16cda273bd,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,51f7dbe67c51f4a7,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,552c6e9282a6a03e,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,70ec4054bb7d1122,mohler,27,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,77ccbf816d233fe0,mohler,27,26.87,27,27,27,-0.483810941570521,-0.483810941570521,-0.483810941570521
Qwen/Qwen2.5-32B-Instruct,77d4c50016bebaab,mohler,30,30.0,30,30,30,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8538fac0e49f5b07,mohler,30,29.725,30,30,30,-0.9251471825063031,-0.9251471825063031,-0.9251471825063031
Qwen/Qwen2.5-32B-Instruct,8563d407e24f8da9,mohler,31,31.0,31,31,31,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8a27032681c10a64,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8e345bcfe0086f24,mohler,28,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,97b1d92e35ff895f,mohler,29,28.44,29,29,25,-1.969057665260192,-1.969057665260192,12.095639943741213
Qwen/Qwen2.5-32B-Instruct,9e874db9ec0697c5,mohler,26,25.97,26,26,26,-0.11551790527532205,-0.11551790527532205,-0.11551790527532205
Qwen/Qwen2.5-32B-Instruct,a128ce1006644347,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,a87634946e70966c,mohler,29,28.96,29,29,29,-0.138121546961323,-0.138121546961323,-0.138121546961323
Qwen/Qwen2.5-32B-Instruct,ada2822620634947,mohler,26,25.97,26,26,26,-0.11551790527532205,-0.11551790527532205,-0.11551790527532205
Qwen/Qwen2.5-32B-Instruct,ae3ab69d91fefd46,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d3ee084a72db4565,mohler,28,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d7a31d1b5701c7fe,mohler,31,30.97,31,31,31,-0.09686793671295169,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,dd0a22d4dbff5b4a,mohler,29,29.0,29,29,29,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,df1f6a0071684e79,mohler,30,30.0,30,30,30,0.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,e16a2d9107f1fcea,mohler,31,30.97,31,31,31,-0.09686793671295169,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,e65ed48341cc5df1,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,12a8db106cac744f,mohler,26,25.975,26,26,26,-0.096246390760341,-0.096246390760341,-0.096246390760341
Qwen/Qwen2.5-72B-Instruct-AWQ,1c3a12552fbf25bd,mohler,29,28.98,29,29,29,-0.06901311249137189,-0.06901311249137189,-0.06901311249137189
Qwen/Qwen2.5-72B-Instruct-AWQ,1f2dcc9aa70c85d0,mohler,27,26.99,27,27,27,-0.03705075954057638,-0.03705075954057638,-0.03705075954057638
Qwen/Qwen2.5-72B-Instruct-AWQ,330c9e050d1cf143,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,35ca3259034ea7d2,mohler,26,25.975,26,26,26,-0.096246390760341,-0.096246390760341,-0.096246390760341
Qwen/Qwen2.5-72B-Instruct-AWQ,3bb8265858f79804,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,70ec4054bb7d1122,mohler,27,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,77ccbf816d233fe0,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,8e1b8cf22bc75a58,mohler,28,28.0,28,28,28,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,98d6f84c43f7b74b,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,e16a2d9107f1fcea,mohler,31,30.88,5,6,31,83.80829015544042,80.56994818652849,-0.3886010362694333
Qwen/Qwen3-32B,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3-32B,4d3fef6bfa66400d,mohler,30,29.2,30,30,30,-2.739726027397263,-2.739726027397263,-2.739726027397263
Qwen/Qwen3-32B,70ec4054bb7d1122,mohler,27,26.99,27,27,27,-0.03705075954057638,-0.03705075954057638,-0.03705075954057638
Qwen/Qwen3-32B,9e874db9ec0697c5,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-27B,1c3a12552fbf25bd,mohler,29,28.96,29,29,29,-0.138121546961323,-0.138121546961323,-0.138121546961323
Qwen/Qwen3.5-27B,1f2dcc9aa70c85d0,mohler,27,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-27B,1fcd40f40472d1fe,mohler,30,28.85,30,30,30,-3.9861351819757314,-3.9861351819757314,-3.9861351819757314
Qwen/Qwen3.5-27B,330c9e050d1cf143,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-27B,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-27B,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-27B,51f7dbe67c51f4a7,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-27B,70ec4054bb7d1122,mohler,27,26.86,27,27,27,-0.5212211466865249,-0.5212211466865249,-0.5212211466865249
Qwen/Qwen3.5-27B,7587e573bc4d8985,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen3.5-27B,77ccbf816d233fe0,mohler,27,26.79,27,27,27,-0.7838745800671924,-0.7838745800671924,-0.7838745800671924
Qwen/Qwen3.5-27B,8a27032681c10a64,mohler,30,29.125,30,30,30,-3.004291845493562,-3.004291845493562,-3.004291845493562
Qwen/Qwen3.5-27B,8e345bcfe0086f24,mohler,28,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-27B,97b1d92e35ff895f,mohler,29,28.44,29,29,29,-1.969057665260192,-1.969057665260192,-1.969057665260192
Qwen/Qwen3.5-27B,9e874db9ec0697c5,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-27B,b49c559b7155e660,mohler,30,30.0,30,30,30,0.0,0.0,0.0
Qwen/Qwen3.5-27B,d3ee084a72db4565,mohler,28,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-27B,f298fb8dee2e0847,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen3.5-27B,fad5929228b8bc17,mohler,28,27.97,28,28,28,-0.10725777618877776,-0.10725777618877776,-0.10725777618877776
Qwen/Qwen3.5-35B-A3B,1f2dcc9aa70c85d0,mohler,27,26.77,27,27,27,-0.8591707134852463,-0.8591707134852463,-0.8591707134852463
Qwen/Qwen3.5-35B-A3B,1fcd40f40472d1fe,mohler,30,29.975,30,30,30,-0.08340283569640894,-0.08340283569640894,-0.08340283569640894
Qwen/Qwen3.5-35B-A3B,4d3fef6bfa66400d,mohler,30,29.975,30,30,30,-0.08340283569640894,-0.08340283569640894,-0.08340283569640894
Qwen/Qwen3.5-35B-A3B,70ec4054bb7d1122,mohler,27,26.86,27,27,27,-0.5212211466865249,-0.5212211466865249,-0.5212211466865249
Qwen/Qwen3.5-35B-A3B,77ccbf816d233fe0,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen3.5-35B-A3B,8e345bcfe0086f24,mohler,28,28.0,28,28,28,0.0,0.0,0.0
Qwen/Qwen3.5-9B,1c3a12552fbf25bd,mohler,29,29.0,29,29,29,0.0,0.0,0.0
Qwen/Qwen3.5-9B,1ed353a72ef2a4f8,mohler,29,29.0,29,29,29,0.0,0.0,0.0
Qwen/Qwen3.5-9B,1f2dcc9aa70c85d0,mohler,27,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-9B,1fcd40f40472d1fe,mohler,30,29.825,30,30,30,-0.5867560771165155,-0.5867560771165155,-0.5867560771165155
Qwen/Qwen3.5-9B,330c9e050d1cf143,mohler,26,25.95,26,26,26,-0.19267822736031104,-0.19267822736031104,-0.19267822736031104
Qwen/Qwen3.5-9B,35ca3259034ea7d2,mohler,26,25.965,26,26,26,-0.1347968419025617,-0.1347968419025617,-0.1347968419025617
Qwen/Qwen3.5-9B,4a88ef16cda273bd,mohler,24,24.0,24,24,24,0.0,0.0,0.0
Qwen/Qwen3.5-9B,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-9B,70ec4054bb7d1122,mohler,27,26.85,27,27,27,-0.5586592178770896,-0.5586592178770896,-0.5586592178770896
Qwen/Qwen3.5-9B,7587e573bc4d8985,mohler,27,26.76,27,27,27,-0.8968609865470792,-0.8968609865470792,-0.8968609865470792
Qwen/Qwen3.5-9B,77ccbf816d233fe0,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen3.5-9B,77d4c50016bebaab,mohler,30,30.0,30,30,30,0.0,0.0,0.0
Qwen/Qwen3.5-9B,8a27032681c10a64,mohler,30,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-9B,8e345bcfe0086f24,mohler,28,27.715,28,28,28,-1.0283240122677255,-1.0283240122677255,-1.0283240122677255
Qwen/Qwen3.5-9B,97b1d92e35ff895f,mohler,29,28.44,29,29,29,-1.969057665260192,-1.969057665260192,-1.969057665260192
Qwen/Qwen3.5-9B,ada2822620634947,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-9B,d3ee084a72db4565,mohler,28,25.0,25,25,25,0.0,0.0,0.0
Qwen/Qwen3.5-9B,d5c251c7c70f5f84,mohler,26,26.0,26,26,26,0.0,0.0,0.0
Qwen/Qwen3.5-9B,e16a2d9107f1fcea,mohler,31,30.88,31,31,31,-0.3886010362694333,-0.3886010362694333,-0.3886010362694333
Qwen/Qwen3.5-9B,f298fb8dee2e0847,mohler,27,27.0,27,27,27,0.0,0.0,0.0
Qwen/Qwen3.5-9B,fad5929228b8bc17,mohler,28,28.0,28,28,28,0.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,1c3a12552fbf25bd,mohler,29,28.5,29,29,29,-1.7543859649122806,-1.7543859649122806,-1.7543859649122806
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,51f7dbe67c51f4a7,mohler,26,26.0,26,26,26,0.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,9e874db9ec0697c5,mohler,26,26.0,26,26,26,0.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,e16a2d9107f1fcea,mohler,31,31.0,7,7,31,77.41935483870968,77.41935483870968,0.0
google/gemma-3-27b-it,12a8db106cac744f,mohler,26,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,1c3a12552fbf25bd,mohler,29,28.52,29,29,25,-1.6830294530154295,-1.6830294530154295,12.342215988779802
google/gemma-3-27b-it,1f2dcc9aa70c85d0,mohler,27,27.0,27,27,27,0.0,0.0,0.0
google/gemma-3-27b-it,2e5b888611de7d6a,mohler,30,29.2,30,30,30,-2.739726027397263,-2.739726027397263,-2.739726027397263
google/gemma-3-27b-it,330c9e050d1cf143,mohler,26,25.97,26,26,26,-0.11551790527532205,-0.11551790527532205,-0.11551790527532205
google/gemma-3-27b-it,35ca3259034ea7d2,mohler,26,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,3bb8265858f79804,mohler,24,24.0,24,24,24,0.0,0.0,0.0
google/gemma-3-27b-it,4a88ef16cda273bd,mohler,24,24.0,24,24,24,0.0,0.0,0.0
google/gemma-3-27b-it,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,70ec4054bb7d1122,mohler,27,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,77ccbf816d233fe0,mohler,27,27.0,27,27,27,0.0,0.0,0.0
google/gemma-3-27b-it,7c58ffc50c51a296,mohler,26,25.0,25,25,25,0.0,0.0,0.0
google/gemma-3-27b-it,80734a313aa7e552,mohler,29,29.0,29,29,29,0.0,0.0,0.0
google/gemma-3-27b-it,810d1c7d0c42272b,mohler,30,29.225,30,30,30,-2.6518391787852815,-2.6518391787852815,-2.6518391787852815
google/gemma-3-27b-it,8538fac0e49f5b07,mohler,30,29.975,30,30,30,-0.08340283569640894,-0.08340283569640894,-0.08340283569640894
google/gemma-3-27b-it,8e345bcfe0086f24,mohler,28,28.0,28,28,28,0.0,0.0,0.0
google/gemma-3-27b-it,907da50e4ffda02e,mohler,31,31.0,31,31,31,0.0,0.0,0.0
google/gemma-3-27b-it,9e874db9ec0697c5,mohler,26,25.965,26,26,26,-0.1347968419025617,-0.1347968419025617,-0.1347968419025617
google/gemma-3-27b-it,9eaf4d9f8d103986,mohler,31,31.0,31,31,31,0.0,0.0,0.0
google/gemma-3-27b-it,a87634946e70966c,mohler,29,28.92,29,29,29,-0.27662517289072713,-0.27662517289072713,-0.27662517289072713
google/gemma-3-27b-it,ada2822620634947,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-3-27b-it,b49c559b7155e660,mohler,30,29.9,30,30,30,-0.33444816053512183,-0.33444816053512183,-0.33444816053512183
google/gemma-3-27b-it,d3ee084a72db4565,mohler,28,27.985,28,28,28,-0.053600142933716524,-0.053600142933716524,-0.053600142933716524
google/gemma-3-27b-it,d7a31d1b5701c7fe,mohler,31,30.88,4,6,31,87.04663212435233,80.56994818652849,-0.3886010362694333
google/gemma-3-27b-it,e65ed48341cc5df1,mohler,24,24.0,24,24,24,0.0,0.0,0.0
google/gemma-3-27b-it,f298fb8dee2e0847,mohler,27,26.99,27,27,27,-0.03705075954057638,-0.03705075954057638,-0.03705075954057638
google/gemma-4-26B-A4B-it,12a8db106cac744f,mohler,26,25.945,26,26,26,-0.21198689535555873,-0.21198689535555873,-0.21198689535555873
google/gemma-4-26B-A4B-it,1c3a12552fbf25bd,mohler,29,28.98,29,29,29,-0.06901311249137189,-0.06901311249137189,-0.06901311249137189
google/gemma-4-26B-A4B-it,1f2dcc9aa70c85d0,mohler,27,26.89,27,27,27,-0.4090740052063943,-0.4090740052063943,-0.4090740052063943
google/gemma-4-26B-A4B-it,1fcd40f40472d1fe,mohler,30,29.25,30,30,30,-2.564102564102564,-2.564102564102564,-2.564102564102564
google/gemma-4-26B-A4B-it,330c9e050d1cf143,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,4a88ef16cda273bd,mohler,24,24.0,24,24,24,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,552c6e9282a6a03e,mohler,27,27.0,27,27,27,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,70ec4054bb7d1122,mohler,27,25.0,25,25,25,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,7587e573bc4d8985,mohler,27,26.98,27,27,27,-0.07412898443291169,-0.07412898443291169,-0.07412898443291169
google/gemma-4-26B-A4B-it,77ccbf816d233fe0,mohler,27,26.81,27,27,27,-0.7086907870197736,-0.7086907870197736,-0.7086907870197736
google/gemma-4-26B-A4B-it,77d4c50016bebaab,mohler,30,29.95,30,30,30,-0.16694490818030286,-0.16694490818030286,-0.16694490818030286
google/gemma-4-26B-A4B-it,8538fac0e49f5b07,mohler,30,29.95,30,30,30,-0.16694490818030286,-0.16694490818030286,-0.16694490818030286
google/gemma-4-26B-A4B-it,8a27032681c10a64,mohler,30,29.8,30,30,30,-0.671140939597313,-0.671140939597313,-0.671140939597313
google/gemma-4-26B-A4B-it,8e345bcfe0086f24,mohler,28,28.0,28,28,28,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,9e874db9ec0697c5,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,9eaf4d9f8d103986,mohler,31,30.97,31,31,31,-0.09686793671295169,-0.09686793671295169,-0.09686793671295169
google/gemma-4-26B-A4B-it,d3ee084a72db4565,mohler,28,28.0,28,28,28,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,f298fb8dee2e0847,mohler,27,27.0,27,27,27,0.0,0.0,0.0
google/gemma-4-26B-A4B-it,fad5929228b8bc17,mohler,28,25.0,25,25,25,0.0,0.0,0.0
google/gemma-4-31B-it,1f2dcc9aa70c85d0,mohler,27,25.0,25,25,25,0.0,0.0,0.0
google/gemma-4-31B-it,1fcd40f40472d1fe,mohler,30,29.9,30,30,30,-0.33444816053512183,-0.33444816053512183,-0.33444816053512183
google/gemma-4-31B-it,330c9e050d1cf143,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-4-31B-it,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
google/gemma-4-31B-it,4d3fef6bfa66400d,mohler,30,29.225,30,30,30,-2.6518391787852815,-2.6518391787852815,-2.6518391787852815
google/gemma-4-31B-it,70ec4054bb7d1122,mohler,27,26.88,27,27,27,-0.4464285714285751,-0.4464285714285751,-0.4464285714285751
google/gemma-4-31B-it,7587e573bc4d8985,mohler,27,27.0,27,27,27,0.0,0.0,0.0
google/gemma-4-31B-it,77ccbf816d233fe0,mohler,27,26.9,27,27,27,-0.3717472118959161,-0.3717472118959161,-0.3717472118959161
google/gemma-4-31B-it,fad5929228b8bc17,mohler,28,28.0,28,28,28,0.0,0.0,0.0
microsoft/phi-4,12a8db106cac744f,mohler,26,26.0,26,26,26,0.0,0.0,0.0
microsoft/phi-4,1c3a12552fbf25bd,mohler,29,28.44,29,29,29,-1.969057665260192,-1.969057665260192,-1.969057665260192
microsoft/phi-4,1f2dcc9aa70c85d0,mohler,27,26.9,27,27,27,-0.3717472118959161,-0.3717472118959161,-0.3717472118959161
microsoft/phi-4,1fcd40f40472d1fe,mohler,30,29.775,30,30,30,-0.755667506297234,-0.755667506297234,-0.755667506297234
microsoft/phi-4,330c9e050d1cf143,mohler,26,26.0,26,26,26,0.0,0.0,0.0
microsoft/phi-4,35ca3259034ea7d2,mohler,26,26.0,26,26,26,0.0,0.0,0.0
microsoft/phi-4,3bb8265858f79804,mohler,24,24.0,24,24,24,0.0,0.0,0.0
microsoft/phi-4,4d3fef6bfa66400d,mohler,30,25.0,25,25,25,0.0,0.0,0.0
microsoft/phi-4,70ec4054bb7d1122,mohler,27,26.83,27,27,27,-0.6336190831159214,-0.6336190831159214,-0.6336190831159214
microsoft/phi-4,8538fac0e49f5b07,mohler,30,29.975,30,30,30,-0.08340283569640894,-0.08340283569640894,-0.08340283569640894
microsoft/phi-4,8a27032681c10a64,mohler,30,30.0,30,30,30,0.0,0.0,0.0
microsoft/phi-4,97b1d92e35ff895f,mohler,29,28.98,29,29,29,-0.06901311249137189,-0.06901311249137189,-0.06901311249137189
microsoft/phi-4,d3ee084a72db4565,mohler,28,28.0,28,28,28,0.0,0.0,0.0
microsoft/phi-4,e16a2d9107f1fcea,mohler,31,31.0,6,7,6,80.64516129032258,77.41935483870968,80.64516129032258
microsoft/phi-4,f298fb8dee2e0847,mohler,27,27.0,27,27,27,0.0,0.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,4d3fef6bfa66400d,mohler,30,29.875,30,30,30,-0.41841004184100417,-0.41841004184100417,-0.41841004184100417
mistralai/Mistral-Small-24B-Instruct-2501,70ec4054bb7d1122,mohler,27,27.0,27,27,27,0.0,0.0,0.0
