model,question_id,dataset,n_items,len_hardest,len_easiest,len_random,saving_hardest_pct,saving_easiest_pct
internlm/internlm2_5-20b-chat,essay_set_4,asap_sas,1079,7,25,27.45,74.4990892531876,8.925318761384332
internlm/internlm2_5-20b-chat,essay_set_5,asap_sas,1389,7,25,43.75,84.0,42.857142857142854
internlm/internlm2_5-20b-chat,essay_set_6,asap_sas,1383,4,25,82.215,95.13470777838594,69.59192361491212
internlm/internlm2_5-20b-chat,essay_set_8,asap_sas,1236,4,25,92.885,95.69359961242397,73.08499757764977
internlm/internlm2_5-20b-chat,essay_set_9,asap_sas,1159,4,25,33.53,88.07038473009246,25.439904563077842
microsoft/phi-4,essay_set_1,asap_sas,1176,4,25,66.44,93.97953040337146,62.37206502107164
microsoft/phi-4,essay_set_10,asap_sas,1163,4,25,41.53,90.3684083794847,39.802552371779434
microsoft/phi-4,essay_set_2,asap_sas,890,4,25,58.12,93.11768754301445,56.98554714384033
microsoft/phi-4,essay_set_5,asap_sas,1389,4,25,25.91,84.56194519490545,3.5121574681590126
microsoft/phi-4,essay_set_6,asap_sas,1383,4,25,36.58,89.06506287588847,31.656642974302894
microsoft/phi-4,essay_set_9,asap_sas,1159,5,25,96.025,94.79302265035146,73.96511325175736
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_1,asap_sas,1176,4,25,32.335,87.62950363383331,22.684397711458175
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_10,asap_sas,1163,25,25,25.21,0.8330027766759255,0.8330027766759255
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_2,asap_sas,890,4,25,35.13,88.61372046683746,28.835752917734137
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_3,asap_sas,1151,4,25,26.96,85.16320474777447,7.270029673590507
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_4,asap_sas,1079,39,25,25.245,-54.486036838978016,0.9704892057833272
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_5,asap_sas,1389,12,25,26.505,54.72552348613468,5.67817392944727
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_6,asap_sas,1383,39,25,26.89,-45.03532911863146,7.028635180364449
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_7,asap_sas,1383,4,25,38.99,89.7409592203129,35.88099512695563
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_8,asap_sas,1236,53,25,26.12,-102.90964777947931,4.287901990811642
mistralai/Mistral-Small-24B-Instruct-2501,essay_set_9,asap_sas,1159,32,25,25.35,-26.232741617356996,1.3806706114398477
Qwen/Qwen2.5-14B-Instruct,4d3fef6bfa66400d,mohler,30,30,25,29.3,-2.3890784982935127,14.67576791808874
Qwen/Qwen2.5-14B-Instruct,70ec4054bb7d1122,mohler,27,27,27,26.81,-0.7086907870197736,-0.7086907870197736
Qwen/Qwen2.5-32B-Instruct,12a8db106cac744f,mohler,26,26,26,25.965,-0.1347968419025617,-0.1347968419025617
Qwen/Qwen2.5-32B-Instruct,1c3a12552fbf25bd,mohler,29,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1ed353a72ef2a4f8,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1f2dcc9aa70c85d0,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,1fcd40f40472d1fe,mohler,30,30,25,29.0,-3.4482758620689653,13.793103448275861
Qwen/Qwen2.5-32B-Instruct,330c9e050d1cf143,mohler,26,26,25,25.985,-0.05772561092938453,3.790648451029438
Qwen/Qwen2.5-32B-Instruct,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4a88ef16cda273bd,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,51f7dbe67c51f4a7,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,552c6e9282a6a03e,mohler,27,27,25,27.0,0.0,7.4074074074074066
Qwen/Qwen2.5-32B-Instruct,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,77ccbf816d233fe0,mohler,27,27,25,26.87,-0.483810941570521,6.959434313360628
Qwen/Qwen2.5-32B-Instruct,77d4c50016bebaab,mohler,30,30,30,30.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8538fac0e49f5b07,mohler,30,30,25,29.725,-0.9251471825063031,15.895710681244749
Qwen/Qwen2.5-32B-Instruct,8563d407e24f8da9,mohler,31,31,31,31.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8a27032681c10a64,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,8e345bcfe0086f24,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,97b1d92e35ff895f,mohler,29,29,25,28.44,-1.969057665260192,12.095639943741213
Qwen/Qwen2.5-32B-Instruct,9e874db9ec0697c5,mohler,26,26,25,25.97,-0.11551790527532205,3.7350789372352673
Qwen/Qwen2.5-32B-Instruct,a128ce1006644347,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,a87634946e70966c,mohler,29,29,25,28.96,-0.138121546961323,13.674033149171272
Qwen/Qwen2.5-32B-Instruct,ada2822620634947,mohler,26,26,26,25.97,-0.11551790527532205,-0.11551790527532205
Qwen/Qwen2.5-32B-Instruct,ae3ab69d91fefd46,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d3ee084a72db4565,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,d7a31d1b5701c7fe,mohler,31,31,31,30.97,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,dd0a22d4dbff5b4a,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen2.5-32B-Instruct,df1f6a0071684e79,mohler,30,30,25,30.0,0.0,16.666666666666664
Qwen/Qwen2.5-32B-Instruct,e16a2d9107f1fcea,mohler,31,31,31,30.97,-0.09686793671295169,-0.09686793671295169
Qwen/Qwen2.5-32B-Instruct,e65ed48341cc5df1,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,12a8db106cac744f,mohler,26,26,26,25.975,-0.096246390760341,-0.096246390760341
Qwen/Qwen2.5-72B-Instruct-AWQ,1c3a12552fbf25bd,mohler,29,29,25,28.98,-0.06901311249137189,13.7336093857833
Qwen/Qwen2.5-72B-Instruct-AWQ,1f2dcc9aa70c85d0,mohler,27,27,25,26.99,-0.03705075954057638,7.373101148573541
Qwen/Qwen2.5-72B-Instruct-AWQ,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,35ca3259034ea7d2,mohler,26,26,25,25.975,-0.096246390760341,3.753609239653518
Qwen/Qwen2.5-72B-Instruct-AWQ,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,77ccbf816d233fe0,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,8e1b8cf22bc75a58,mohler,28,28,28,28.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,98d6f84c43f7b74b,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen2.5-72B-Instruct-AWQ,e16a2d9107f1fcea,mohler,31,5,25,30.88,83.80829015544042,19.04145077720207
Qwen/Qwen3-32B,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3-32B,4d3fef6bfa66400d,mohler,30,30,25,29.2,-2.739726027397263,14.383561643835616
Qwen/Qwen3-32B,70ec4054bb7d1122,mohler,27,27,27,26.99,-0.03705075954057638,-0.03705075954057638
Qwen/Qwen3-32B,9e874db9ec0697c5,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-27B,1c3a12552fbf25bd,mohler,29,29,25,28.96,-0.138121546961323,13.674033149171272
Qwen/Qwen3.5-27B,1f2dcc9aa70c85d0,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-27B,1fcd40f40472d1fe,mohler,30,30,25,28.85,-3.9861351819757314,13.344887348353557
Qwen/Qwen3.5-27B,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-27B,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-27B,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-27B,51f7dbe67c51f4a7,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-27B,70ec4054bb7d1122,mohler,27,27,25,26.86,-0.5212211466865249,6.924795234549514
Qwen/Qwen3.5-27B,7587e573bc4d8985,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen3.5-27B,77ccbf816d233fe0,mohler,27,27,25,26.79,-0.7838745800671924,6.681597611048897
Qwen/Qwen3.5-27B,8a27032681c10a64,mohler,30,30,25,29.125,-3.004291845493562,14.163090128755366
Qwen/Qwen3.5-27B,8e345bcfe0086f24,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-27B,97b1d92e35ff895f,mohler,29,29,25,28.44,-1.969057665260192,12.095639943741213
Qwen/Qwen3.5-27B,9e874db9ec0697c5,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-27B,b49c559b7155e660,mohler,30,30,25,30.0,0.0,16.666666666666664
Qwen/Qwen3.5-27B,d3ee084a72db4565,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-27B,f298fb8dee2e0847,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen3.5-27B,fad5929228b8bc17,mohler,28,28,28,27.97,-0.10725777618877776,-0.10725777618877776
Qwen/Qwen3.5-35B-A3B,1f2dcc9aa70c85d0,mohler,27,27,25,26.77,-0.8591707134852463,6.611878968995143
Qwen/Qwen3.5-35B-A3B,1fcd40f40472d1fe,mohler,30,30,25,29.975,-0.08340283569640894,16.597164303586325
Qwen/Qwen3.5-35B-A3B,4d3fef6bfa66400d,mohler,30,30,25,29.975,-0.08340283569640894,16.597164303586325
Qwen/Qwen3.5-35B-A3B,70ec4054bb7d1122,mohler,27,27,25,26.86,-0.5212211466865249,6.924795234549514
Qwen/Qwen3.5-35B-A3B,77ccbf816d233fe0,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen3.5-35B-A3B,8e345bcfe0086f24,mohler,28,28,28,28.0,0.0,0.0
Qwen/Qwen3.5-9B,1c3a12552fbf25bd,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen3.5-9B,1ed353a72ef2a4f8,mohler,29,29,29,29.0,0.0,0.0
Qwen/Qwen3.5-9B,1f2dcc9aa70c85d0,mohler,27,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-9B,1fcd40f40472d1fe,mohler,30,30,25,29.825,-0.5867560771165155,16.17770326906957
Qwen/Qwen3.5-9B,330c9e050d1cf143,mohler,26,26,26,25.95,-0.19267822736031104,-0.19267822736031104
Qwen/Qwen3.5-9B,35ca3259034ea7d2,mohler,26,26,25,25.965,-0.1347968419025617,3.716541498170614
Qwen/Qwen3.5-9B,4a88ef16cda273bd,mohler,24,24,24,24.0,0.0,0.0
Qwen/Qwen3.5-9B,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-9B,70ec4054bb7d1122,mohler,27,27,25,26.85,-0.5586592178770896,6.89013035381751
Qwen/Qwen3.5-9B,7587e573bc4d8985,mohler,27,27,25,26.76,-0.8968609865470792,6.576980568011964
Qwen/Qwen3.5-9B,77ccbf816d233fe0,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen3.5-9B,77d4c50016bebaab,mohler,30,30,30,30.0,0.0,0.0
Qwen/Qwen3.5-9B,8a27032681c10a64,mohler,30,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-9B,8e345bcfe0086f24,mohler,28,28,25,27.715,-1.0283240122677255,9.796139274760959
Qwen/Qwen3.5-9B,97b1d92e35ff895f,mohler,29,29,25,28.44,-1.969057665260192,12.095639943741213
Qwen/Qwen3.5-9B,ada2822620634947,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-9B,d3ee084a72db4565,mohler,28,25,25,25.0,0.0,0.0
Qwen/Qwen3.5-9B,d5c251c7c70f5f84,mohler,26,26,26,26.0,0.0,0.0
Qwen/Qwen3.5-9B,e16a2d9107f1fcea,mohler,31,31,31,30.88,-0.3886010362694333,-0.3886010362694333
Qwen/Qwen3.5-9B,f298fb8dee2e0847,mohler,27,27,27,27.0,0.0,0.0
Qwen/Qwen3.5-9B,fad5929228b8bc17,mohler,28,28,28,28.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,1c3a12552fbf25bd,mohler,29,29,25,28.5,-1.7543859649122806,12.280701754385964
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,51f7dbe67c51f4a7,mohler,26,26,26,26.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,9e874db9ec0697c5,mohler,26,26,26,26.0,0.0,0.0
RedHatAI/Llama-4-Scout-17B-16E-Instruct-quantized.w4a16,e16a2d9107f1fcea,mohler,31,7,31,31.0,77.41935483870968,0.0
google/gemma-3-27b-it,12a8db106cac744f,mohler,26,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,1c3a12552fbf25bd,mohler,29,29,25,28.52,-1.6830294530154295,12.342215988779802
google/gemma-3-27b-it,1f2dcc9aa70c85d0,mohler,27,27,25,27.0,0.0,7.4074074074074066
google/gemma-3-27b-it,2e5b888611de7d6a,mohler,30,30,25,29.2,-2.739726027397263,14.383561643835616
google/gemma-3-27b-it,330c9e050d1cf143,mohler,26,26,25,25.97,-0.11551790527532205,3.7350789372352673
google/gemma-3-27b-it,35ca3259034ea7d2,mohler,26,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
google/gemma-3-27b-it,4a88ef16cda273bd,mohler,24,24,24,24.0,0.0,0.0
google/gemma-3-27b-it,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,77ccbf816d233fe0,mohler,27,27,27,27.0,0.0,0.0
google/gemma-3-27b-it,7c58ffc50c51a296,mohler,26,25,25,25.0,0.0,0.0
google/gemma-3-27b-it,80734a313aa7e552,mohler,29,29,29,29.0,0.0,0.0
google/gemma-3-27b-it,810d1c7d0c42272b,mohler,30,30,25,29.225,-2.6518391787852815,14.4568006843456
google/gemma-3-27b-it,8538fac0e49f5b07,mohler,30,30,30,29.975,-0.08340283569640894,-0.08340283569640894
google/gemma-3-27b-it,8e345bcfe0086f24,mohler,28,28,28,28.0,0.0,0.0
google/gemma-3-27b-it,907da50e4ffda02e,mohler,31,31,31,31.0,0.0,0.0
google/gemma-3-27b-it,9e874db9ec0697c5,mohler,26,26,26,25.965,-0.1347968419025617,-0.1347968419025617
google/gemma-3-27b-it,9eaf4d9f8d103986,mohler,31,31,31,31.0,0.0,0.0
google/gemma-3-27b-it,a87634946e70966c,mohler,29,29,25,28.92,-0.27662517289072713,13.554633471645925
google/gemma-3-27b-it,ada2822620634947,mohler,26,26,26,26.0,0.0,0.0
google/gemma-3-27b-it,b49c559b7155e660,mohler,30,30,30,29.9,-0.33444816053512183,-0.33444816053512183
google/gemma-3-27b-it,d3ee084a72db4565,mohler,28,28,25,27.985,-0.053600142933716524,10.666428443809181
google/gemma-3-27b-it,d7a31d1b5701c7fe,mohler,31,4,25,30.88,87.04663212435233,19.04145077720207
google/gemma-3-27b-it,e65ed48341cc5df1,mohler,24,24,24,24.0,0.0,0.0
google/gemma-3-27b-it,f298fb8dee2e0847,mohler,27,27,25,26.99,-0.03705075954057638,7.373101148573541
google/gemma-4-26B-A4B-it,12a8db106cac744f,mohler,26,26,26,25.945,-0.21198689535555873,-0.21198689535555873
google/gemma-4-26B-A4B-it,1c3a12552fbf25bd,mohler,29,29,29,28.98,-0.06901311249137189,-0.06901311249137189
google/gemma-4-26B-A4B-it,1f2dcc9aa70c85d0,mohler,27,27,25,26.89,-0.4090740052063943,7.028635180364449
google/gemma-4-26B-A4B-it,1fcd40f40472d1fe,mohler,30,30,25,29.25,-2.564102564102564,14.529914529914532
google/gemma-4-26B-A4B-it,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
google/gemma-4-26B-A4B-it,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
google/gemma-4-26B-A4B-it,4a88ef16cda273bd,mohler,24,24,24,24.0,0.0,0.0
google/gemma-4-26B-A4B-it,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
google/gemma-4-26B-A4B-it,552c6e9282a6a03e,mohler,27,27,27,27.0,0.0,0.0
google/gemma-4-26B-A4B-it,70ec4054bb7d1122,mohler,27,25,25,25.0,0.0,0.0
google/gemma-4-26B-A4B-it,7587e573bc4d8985,mohler,27,27,27,26.98,-0.07412898443291169,-0.07412898443291169
google/gemma-4-26B-A4B-it,77ccbf816d233fe0,mohler,27,27,25,26.81,-0.7086907870197736,6.75121223424095
google/gemma-4-26B-A4B-it,77d4c50016bebaab,mohler,30,30,25,29.95,-0.16694490818030286,16.527545909849746
google/gemma-4-26B-A4B-it,8538fac0e49f5b07,mohler,30,30,25,29.95,-0.16694490818030286,16.527545909849746
google/gemma-4-26B-A4B-it,8a27032681c10a64,mohler,30,30,25,29.8,-0.671140939597313,16.107382550335572
google/gemma-4-26B-A4B-it,8e345bcfe0086f24,mohler,28,28,28,28.0,0.0,0.0
google/gemma-4-26B-A4B-it,9e874db9ec0697c5,mohler,26,26,26,26.0,0.0,0.0
google/gemma-4-26B-A4B-it,9eaf4d9f8d103986,mohler,31,31,31,30.97,-0.09686793671295169,-0.09686793671295169
google/gemma-4-26B-A4B-it,d3ee084a72db4565,mohler,28,28,28,28.0,0.0,0.0
google/gemma-4-26B-A4B-it,f298fb8dee2e0847,mohler,27,27,25,27.0,0.0,7.4074074074074066
google/gemma-4-26B-A4B-it,fad5929228b8bc17,mohler,28,25,25,25.0,0.0,0.0
google/gemma-4-31B-it,1f2dcc9aa70c85d0,mohler,27,25,25,25.0,0.0,0.0
google/gemma-4-31B-it,1fcd40f40472d1fe,mohler,30,30,25,29.9,-0.33444816053512183,16.387959866220733
google/gemma-4-31B-it,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
google/gemma-4-31B-it,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
google/gemma-4-31B-it,4d3fef6bfa66400d,mohler,30,30,25,29.225,-2.6518391787852815,14.4568006843456
google/gemma-4-31B-it,70ec4054bb7d1122,mohler,27,27,25,26.88,-0.4464285714285751,6.994047619047615
google/gemma-4-31B-it,7587e573bc4d8985,mohler,27,27,27,27.0,0.0,0.0
google/gemma-4-31B-it,77ccbf816d233fe0,mohler,27,27,25,26.9,-0.3717472118959161,7.0631970260223
google/gemma-4-31B-it,fad5929228b8bc17,mohler,28,28,28,28.0,0.0,0.0
microsoft/phi-4,12a8db106cac744f,mohler,26,26,26,26.0,0.0,0.0
microsoft/phi-4,1c3a12552fbf25bd,mohler,29,29,25,28.44,-1.969057665260192,12.095639943741213
microsoft/phi-4,1f2dcc9aa70c85d0,mohler,27,27,25,26.9,-0.3717472118959161,7.0631970260223
microsoft/phi-4,1fcd40f40472d1fe,mohler,30,30,25,29.775,-0.755667506297234,16.036943744752303
microsoft/phi-4,330c9e050d1cf143,mohler,26,26,26,26.0,0.0,0.0
microsoft/phi-4,35ca3259034ea7d2,mohler,26,26,26,26.0,0.0,0.0
microsoft/phi-4,3bb8265858f79804,mohler,24,24,24,24.0,0.0,0.0
microsoft/phi-4,4d3fef6bfa66400d,mohler,30,25,25,25.0,0.0,0.0
microsoft/phi-4,70ec4054bb7d1122,mohler,27,27,25,26.83,-0.6336190831159214,6.8207230711889615
microsoft/phi-4,8538fac0e49f5b07,mohler,30,30,25,29.975,-0.08340283569640894,16.597164303586325
microsoft/phi-4,8a27032681c10a64,mohler,30,30,30,30.0,0.0,0.0
microsoft/phi-4,97b1d92e35ff895f,mohler,29,29,29,28.98,-0.06901311249137189,-0.06901311249137189
microsoft/phi-4,d3ee084a72db4565,mohler,28,28,28,28.0,0.0,0.0
microsoft/phi-4,e16a2d9107f1fcea,mohler,31,6,25,31.0,80.64516129032258,19.35483870967742
microsoft/phi-4,f298fb8dee2e0847,mohler,27,27,27,27.0,0.0,0.0
mistralai/Mistral-Small-24B-Instruct-2501,4d3fef6bfa66400d,mohler,30,30,25,29.875,-0.41841004184100417,16.317991631799163
mistralai/Mistral-Small-24B-Instruct-2501,70ec4054bb7d1122,mohler,27,27,27,27.0,0.0,0.0
